uuid,provider,date,max_accuracy,model_name,constraint,best_params,loops_in_model,best_model_duration,all_duration,cost,accuracy,precision,recall,f1
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,cs,2,depth = 3 and min_smaple = 5,0,0.0257235,0.2411667,191,0.310344828,0.5,0.05,0.090909091
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,cs,17,depth = 3 and min_smaple = 5,0,0.0266366,0.2405371,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,AdaCSL_WRC,2,depth = 3 and min_smaple = 5,37,125.9094683,1291.42987,191,0.310344828,0.5,0.05,0.090909091
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,AdaCSL_WRC,17,depth = 3 and min_smaple = 5,16,51.2821003,506.4988367,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,cfn=cfp AdaCSL_WRC,2,depth = 3 and min_smaple = 5,3,10.1844318,102.2048152,191,0.310344828,0.5,0.05,0.090909091
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,cfn=cfp AdaCSL_WRC,17,depth = 3 and min_smaple = 5,1,3.1734522,29.6305194,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,dt,2,depth = 3 and min_smaple = 5,0,0.0342897,0.5558286,220,0.24137931,1,0.083333333,0.153846154
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,dt,17,depth = 3 and min_smaple = 5,0,0.0330331,0.553638,81,0.689655172,0.941176471,0.666666667,0.780487805
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,rf,2,depth = 3 and min_smaple = 15,0,0.5854891,8.6746876,220,0.24137931,1,0.083333333,0.153846154
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,rf,17,depth = 5 and min_smaple = 5,0,0.8413366,8.6545883,92,0.620689655,0.882352941,0.625,0.731707317
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,cs,2,depth = 3 and min_smaple = 5,0,0.027203,0.2381159,231,0.172413793,0.5,0.041666667,0.076923077
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,cs,17,depth = 3 and min_smaple = 5,0,0.025437,0.2328997,103,0.551724138,0.823529412,0.583333333,0.682926829
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,AdaCSL_WRC,2,depth = 3 and min_smaple = 5,34,111.7527377,1142.992942,231,0.172413793,0.5,0.041666667,0.076923077
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,AdaCSL_WRC,17,depth = 3 and min_smaple = 5,18,56.3035927,556.9524415,92,0.620689655,0.882352941,0.625,0.731707317
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,cfn=cfp AdaCSL_WRC,2,depth = 3 and min_smaple = 5,3,10.5322558,105.5536908,231,0.172413793,0.5,0.041666667,0.076923077
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,cfn=cfp AdaCSL_WRC,17,depth = 3 and min_smaple = 5,1,3.5260003,34.3926252,92,0.620689655,0.882352941,0.625,0.731707317
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.310344828,dt,2,depth = 10 and min_smaple = 15,0,0.1042261,0.5616856,200,0.310344828,1,0.090909091,0.166666667
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.827586207,dt,17,depth = 10 and min_smaple = 15,0,0.1019837,0.5582929,61,0.75862069,0.941176471,0.727272727,0.820512821
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.310344828,rf,2,depth = 3 and min_smaple = 15,0,0.5902278,8.5520545,200,0.310344828,1,0.090909091,0.166666667
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.827586207,rf,17,depth = 3 and min_smaple = 5,0,0.577985,8.6461428,61,0.75862069,0.941176471,0.727272727,0.820512821
